id,stage,datetime,tags,type,task_id,worker_id,answers
169,substitutions,1465220592,,answer,1,2,
270,substitutions,1465221092,,answer,1,3,дорога
533,substitutions,1465232123,,answer,1,6,дорога
659,substitutions,1465248506,,answer,1,7,дорога
875,substitutions,1465251265,,answer,1,8,дорога
107,substitutions,1465220047,,answer,2,2,
394,substitutions,1465221795,,answer,2,3,
610,substitutions,1465232987,,answer,2,6,
655,substitutions,1465248330,,answer,2,7,
870,substitutions,1465251069,,answer,2,8,
184,substitutions,1465220680,,answer,3,2,
274,substitutions,1465221107,,answer,3,4,дорожка
431,substitutions,1465222338,,answer,3,3,
642,substitutions,1465233508,,answer,3,6,
828,substitutions,1465249952,,answer,3,7,
57,substitutions,1465219422,,answer,4,2,маршрут
271,substitutions,1465221097,,answer,4,4,маршрут
444,substitutions,1465222406,,answer,4,3,маршрут
645,substitutions,1465233523,,answer,4,6,маршрут
831,substitutions,1465249984,,answer,4,7,
164,substitutions,1465220557,,answer,5,2,
350,substitutions,1465221531,,answer,5,3,
466,substitutions,1465231434,,answer,5,6,следование
810,substitutions,1465249853,,answer,5,7,
864,substitutions,1465250986,,answer,5,8,
143,substitutions,1465220405,,answer,6,2,
311,substitutions,1465221265,,answer,6,3,
487,substitutions,1465231658,,answer,6,6,траектория|шествие
797,substitutions,1465249790,,answer,6,7,
885,substitutions,1465251612,,answer,6,8,
139,substitutions,1465220312,,answer,7,2,
320,substitutions,1465221336,,answer,7,3,проход
597,substitutions,1465232774,,answer,7,6,проход
677,substitutions,1465248746,,answer,7,7,проход
880,substitutions,1465251521,,answer,7,8,проход|тропа
41,substitutions,1465219245,,answer,8,2,
376,substitutions,1465221690,,answer,8,3,проезд
519,substitutions,1465231997,,answer,8,6,проезд|курс
738,substitutions,1465249426,,answer,8,7,
161,substitutions,1465220534,,answer,9,2,дорога|поездка
365,substitutions,1465221622,,answer,9,3,дорога|поездка
496,substitutions,1465231747,,answer,9,6,поездка
734,substitutions,1465249397,,answer,9,7,дорога
873,substitutions,1465251102,,answer,9,8,дорога|поездка
4,substitutions,1465218666,,answer,10,2,
371,substitutions,1465221653,,answer,10,3,
570,substitutions,1465232538,,answer,10,6,
744,substitutions,1465249457,,answer,10,7,
168,substitutions,1465220585,,answer,11,2,
415,substitutions,1465222247,,answer,11,3,путешествие|рейс
611,substitutions,1465232996,,answer,11,6,путешествие|рейс|дорожка
702,substitutions,1465249124,,answer,11,7,
11,substitutions,1465218777,,answer,12,2,
392,substitutions,1465221786,,answer,12,3,
501,substitutions,1465231801,,answer,12,6,
708,substitutions,1465249178,,answer,12,7,
874,substitutions,1465251252,,answer,12,8,маршрут
128,substitutions,1465220241,,answer,13,2,
225,substitutions,1465220852,,answer,13,3,
552,substitutions,1465232377,,answer,13,6,следование
755,substitutions,1465249525,,answer,13,7,
12,substitutions,1465218793,,answer,14,2,
308,substitutions,1465221250,,answer,14,3,
495,substitutions,1465231735,,answer,14,6,шествие
721,substitutions,1465249276,,answer,14,7,
859,substitutions,1465250896,,answer,14,8,
8,substitutions,1465218735,,answer,15,2,
220,substitutions,1465220839,,answer,15,4,
420,substitutions,1465222271,,answer,15,3,
639,substitutions,1465233461,,answer,15,6,
843,substitutions,1465250034,,answer,15,7,
65,substitutions,1465219507,,answer,16,2,
339,substitutions,1465221467,,answer,16,3,
461,substitutions,1465231363,,answer,16,6,
691,substitutions,1465248971,,answer,16,7,
198,substitutions,1465220744,,answer,17,3,поездка
221,substitutions,1465220843,,answer,17,2,поездка
583,substitutions,1465232646,,answer,17,6,следование
699,substitutions,1465249048,,answer,17,7,поездка
130,substitutions,1465220246,,answer,18,2,
386,substitutions,1465221755,,answer,18,3,
543,substitutions,1465232259,,answer,18,6,
801,substitutions,1465249815,,answer,18,7,
137,substitutions,1465220285,,answer,19,2,путь
369,substitutions,1465221643,,answer,19,3,путь
564,substitutions,1465232485,,answer,19,6,путь
790,substitutions,1465249730,,answer,19,7,путь
115,substitutions,1465220169,,answer,20,2,путешествие
354,substitutions,1465221555,,answer,20,3,путешествие|рейс
598,substitutions,1465232780,,answer,20,6,путешествие
704,substitutions,1465249159,,answer,20,7,
893,substitutions,1465252050,,answer,20,8,путешествие
183,substitutions,1465220672,,answer,21,2,дорожка
362,substitutions,1465221604,,answer,21,3,
488,substitutions,1465231667,,answer,21,6,дорожка
813,substitutions,1465249865,,answer,21,7,
872,substitutions,1465251091,,answer,21,8,
102,substitutions,1465220008,,answer,22,2,
367,substitutions,1465221633,,answer,22,3,
560,substitutions,1465232451,,answer,22,6,
681,substitutions,1465248777,,answer,22,7,
156,substitutions,1465220508,,answer,23,2,
284,substitutions,1465221133,,answer,23,3,
572,substitutions,1465232548,,answer,23,6,маршрут
723,substitutions,1465249290,,answer,23,7,
203,substitutions,1465220762,,answer,24,3,
206,substitutions,1465220780,,answer,24,2,дорога
590,substitutions,1465232700,,answer,24,6,
678,substitutions,1465248751,,answer,24,7,
63,substitutions,1465219492,,answer,25,2,
239,substitutions,1465220947,,answer,25,3,
553,substitutions,1465232384,,answer,25,6,
663,substitutions,1465248577,,answer,25,7,
123,substitutions,1465220210,,answer,26,2,
331,substitutions,1465221408,,answer,26,3,
603,substitutions,1465232823,,answer,26,6,ход
787,substitutions,1465249719,,answer,26,7,
189,substitutions,1465220710,,answer,27,2,
400,substitutions,1465222094,,answer,27,3,маршрут
465,substitutions,1465231420,,answer,27,6,маршрут
746,substitutions,1465249470,,answer,27,7,
20,substitutions,1465218941,,answer,28,2,
279,substitutions,1465221118,,answer,28,3,тропинка
489,substitutions,1465231679,,answer,28,6,следование
795,substitutions,1465249779,,answer,28,7,
96,substitutions,1465219933,,answer,29,2,
333,substitutions,1465221422,,answer,29,3,
544,substitutions,1465232269,,answer,29,6,
732,substitutions,1465249365,,answer,29,7,
892,substitutions,1465251814,,answer,29,8,
182,substitutions,1465220668,,answer,30,3,проход|тропа
269,substitutions,1465221089,,answer,30,2,проход
502,substitutions,1465231812,,answer,30,6,проход|выход
698,substitutions,1465249043,,answer,30,7,проход
890,substitutions,1465251763,,answer,30,8,проход
47,substitutions,1465219315,,answer,31,2,проезд
289,substitutions,1465221149,,answer,31,3,
447,substitutions,1465231138,,answer,31,6,проезд
756,substitutions,1465249535,,answer,31,7,
124,substitutions,1465220215,,answer,32,2,
338,substitutions,1465221462,,answer,32,3,улица|трасса|мостовая
595,substitutions,1465232753,,answer,32,6,улица|мостовая
782,substitutions,1465249690,,answer,32,7,
110,substitutions,1465220120,,answer,33,2,тропинка
347,substitutions,1465221515,,answer,33,3,тракт|тропинка
613,substitutions,1465233049,,answer,33,6,тропинка
680,substitutions,1465248772,,answer,33,7,
62,substitutions,1465219482,,answer,34,2,шоссе|путь
357,substitutions,1465221578,,answer,34,3,
477,substitutions,1465231561,,answer,34,6,траектория|шоссе|путь
684,substitutions,1465248919,,answer,34,7,
