id,stage,datetime,tags,type,task_id,worker_id,answers
169,substitutions,1465220592,,answer,1,2,
270,substitutions,1465221092,,answer,1,3,дорога
533,substitutions,1465232123,,answer,1,6,дорога
107,substitutions,1465220047,,answer,2,2,
394,substitutions,1465221795,,answer,2,3,
610,substitutions,1465232987,,answer,2,6,
184,substitutions,1465220680,,answer,3,2,
274,substitutions,1465221107,,answer,3,4,дорожка
431,substitutions,1465222338,,answer,3,3,
642,substitutions,1465233508,,answer,3,6,
57,substitutions,1465219422,,answer,4,2,маршрут
271,substitutions,1465221097,,answer,4,4,маршрут
444,substitutions,1465222406,,answer,4,3,маршрут
645,substitutions,1465233523,,answer,4,6,маршрут
164,substitutions,1465220557,,answer,5,2,
350,substitutions,1465221531,,answer,5,3,
466,substitutions,1465231434,,answer,5,6,следование
143,substitutions,1465220405,,answer,6,2,
311,substitutions,1465221265,,answer,6,3,
487,substitutions,1465231658,,answer,6,6,траектория|шествие
139,substitutions,1465220312,,answer,7,2,
320,substitutions,1465221336,,answer,7,3,проход
597,substitutions,1465232774,,answer,7,6,проход
41,substitutions,1465219245,,answer,8,2,
376,substitutions,1465221690,,answer,8,3,проезд
519,substitutions,1465231997,,answer,8,6,проезд|курс
161,substitutions,1465220534,,answer,9,2,дорога|поездка
365,substitutions,1465221622,,answer,9,3,дорога|поездка
496,substitutions,1465231747,,answer,9,6,поездка
4,substitutions,1465218666,,answer,10,2,
371,substitutions,1465221653,,answer,10,3,
570,substitutions,1465232538,,answer,10,6,
168,substitutions,1465220585,,answer,11,2,
415,substitutions,1465222247,,answer,11,3,путешествие|рейс
611,substitutions,1465232996,,answer,11,6,путешествие|рейс|дорожка
11,substitutions,1465218777,,answer,12,2,
392,substitutions,1465221786,,answer,12,3,
501,substitutions,1465231801,,answer,12,6,
128,substitutions,1465220241,,answer,13,2,
225,substitutions,1465220852,,answer,13,3,
552,substitutions,1465232377,,answer,13,6,следование
12,substitutions,1465218793,,answer,14,2,
308,substitutions,1465221250,,answer,14,3,
495,substitutions,1465231735,,answer,14,6,шествие
8,substitutions,1465218735,,answer,15,2,
220,substitutions,1465220839,,answer,15,4,
420,substitutions,1465222271,,answer,15,3,
639,substitutions,1465233461,,answer,15,6,
65,substitutions,1465219507,,answer,16,2,
339,substitutions,1465221467,,answer,16,3,
461,substitutions,1465231363,,answer,16,6,
198,substitutions,1465220744,,answer,17,3,поездка
221,substitutions,1465220843,,answer,17,2,поездка
583,substitutions,1465232646,,answer,17,6,следование
130,substitutions,1465220246,,answer,18,2,
386,substitutions,1465221755,,answer,18,3,
543,substitutions,1465232259,,answer,18,6,
137,substitutions,1465220285,,answer,19,2,путь
369,substitutions,1465221643,,answer,19,3,путь
564,substitutions,1465232485,,answer,19,6,путь
115,substitutions,1465220169,,answer,20,2,путешествие
354,substitutions,1465221555,,answer,20,3,путешествие|рейс
598,substitutions,1465232780,,answer,20,6,путешествие
183,substitutions,1465220672,,answer,21,2,дорожка
362,substitutions,1465221604,,answer,21,3,
488,substitutions,1465231667,,answer,21,6,дорожка
102,substitutions,1465220008,,answer,22,2,
367,substitutions,1465221633,,answer,22,3,
560,substitutions,1465232451,,answer,22,6,
156,substitutions,1465220508,,answer,23,2,
284,substitutions,1465221133,,answer,23,3,
572,substitutions,1465232548,,answer,23,6,маршрут
203,substitutions,1465220762,,answer,24,3,
206,substitutions,1465220780,,answer,24,2,дорога
590,substitutions,1465232700,,answer,24,6,
63,substitutions,1465219492,,answer,25,2,
239,substitutions,1465220947,,answer,25,3,
553,substitutions,1465232384,,answer,25,6,
123,substitutions,1465220210,,answer,26,2,
331,substitutions,1465221408,,answer,26,3,
603,substitutions,1465232823,,answer,26,6,ход
189,substitutions,1465220710,,answer,27,2,
400,substitutions,1465222094,,answer,27,3,маршрут
465,substitutions,1465231420,,answer,27,6,маршрут
20,substitutions,1465218941,,answer,28,2,
279,substitutions,1465221118,,answer,28,3,тропинка
489,substitutions,1465231679,,answer,28,6,следование
96,substitutions,1465219933,,answer,29,2,
333,substitutions,1465221422,,answer,29,3,
544,substitutions,1465232269,,answer,29,6,
182,substitutions,1465220668,,answer,30,3,проход|тропа
269,substitutions,1465221089,,answer,30,2,проход
502,substitutions,1465231812,,answer,30,6,проход|выход
47,substitutions,1465219315,,answer,31,2,проезд
289,substitutions,1465221149,,answer,31,3,
447,substitutions,1465231138,,answer,31,6,проезд
124,substitutions,1465220215,,answer,32,2,
338,substitutions,1465221462,,answer,32,3,улица|трасса|мостовая
595,substitutions,1465232753,,answer,32,6,улица|мостовая
110,substitutions,1465220120,,answer,33,2,тропинка
347,substitutions,1465221515,,answer,33,3,тракт|тропинка
613,substitutions,1465233049,,answer,33,6,тропинка
62,substitutions,1465219482,,answer,34,2,шоссе|путь
357,substitutions,1465221578,,answer,34,3,
477,substitutions,1465231561,,answer,34,6,траектория|шоссе|путь
132,substitutions,1465220254,,answer,35,2,
381,substitutions,1465221731,,answer,35,3,
451,substitutions,1465231217,,answer,35,6,стезя
188,substitutions,1465220705,,answer,36,3,дорожка
231,substitutions,1465220896,,answer,36,2,дорожка
567,substitutions,1465232510,,answer,36,6,дорожка
181,substitutions,1465220664,,answer,37,2,тропа
411,substitutions,1465222219,,answer,37,3,тропа|просека|аллея
592,substitutions,1465232714,,answer,37,6,тропа|просека
69,substitutions,1465219548,,answer,38,2,
287,substitutions,1465221143,,answer,38,3,
517,substitutions,1465231979,,answer,38,6,маршрут
23,substitutions,1465218979,,answer,39,2,
380,substitutions,1465221723,,answer,39,3,улица|трасса|мостовая
486,substitutions,1465231646,,answer,39,6,
10,substitutions,1465218770,,answer,40,2,тропинка
234,substitutions,1465220934,,answer,40,4,тропинка
439,substitutions,1465222384,,answer,40,3,
646,substitutions,1465233551,,answer,40,6,
14,substitutions,1465218820,,answer,41,2,
330,substitutions,1465221403,,answer,41,3,шоссе|путь
584,substitutions,1465232654,,answer,41,6,путь
113,substitutions,1465220156,,answer,42,2,проход
277,substitutions,1465221114,,answer,42,4,
419,substitutions,1465222267,,answer,42,3,проход
643,substitutions,1465233513,,answer,42,6,проход
202,substitutions,1465220758,,answer,43,2,
322,substitutions,1465221355,,answer,43,3,дорожка
511,substitutions,1465231915,,answer,43,6,
64,substitutions,1465219501,,answer,44,2,
250,substitutions,1465220996,,answer,44,4,тропа
436,substitutions,1465222365,,answer,44,3,
640,substitutions,1465233473,,answer,44,6,тропа
121,substitutions,1465220201,,answer,45,3,автомагистраль|тротуар
244,substitutions,1465220965,,answer,45,2,
589,substitutions,1465232693,,answer,45,6,маршрут|тротуар
59,substitutions,1465219439,,answer,46,2,
349,substitutions,1465221524,,answer,46,3,
490,substitutions,1465231691,,answer,46,6,улица
112,substitutions,1465220149,,answer,47,2,
303,substitutions,1465221212,,answer,47,3,
556,substitutions,1465232414,,answer,47,6,
56,substitutions,1465219408,,answer,48,2,путь
