id,stage,datetime,tags,type,description,answers
1,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",улица|дорога|поездка|мостовая|ворота|тракт|оборот
2,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",прием|переправа|образ|шоссе|крюк|план|тактика
3,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",путешествие|рейс|дорожка|створка|ход|порядок|просека
4,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",система|аллея|схема|транзит|маршрут|манера|ухватка
5,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",метода|полотно|средство|следование|портал|тропинка|манипуляция
6,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",траектория|фортель|врата|шествие|расстояние|перевал|дистанция
7,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",проход|путина|стезя|выход|род|конец|тропа
8,substitutions,1464859474733,52_10,multiple,"В течение трёх дней, наша артиллерия разгромила вражеские окопы, произвела в них невероятные разрушения, нанесла немцам тяжёлые потери и расчистила *путь* своей пехоте.",метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
9,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,улица|дорога|поездка|мостовая|ворота|тракт|оборот
10,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,прием|переправа|образ|шоссе|крюк|план|тактика
11,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,путешествие|рейс|дорожка|створка|ход|порядок|просека
12,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,система|аллея|схема|транзит|маршрут|манера|ухватка
13,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,метода|полотно|средство|следование|портал|тропинка|манипуляция
14,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,траектория|фортель|врата|шествие|расстояние|перевал|дистанция
15,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,проход|путина|стезя|выход|род|конец|тропа
16,substitutions,1464859474733,53_10,multiple,На следующее утро я собрался в *путь*.,метод|образец|проезд|дверь|сноровка|способ|курс|тротуар
17,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,улица|трасса|поездка|полотно|средство|мостовая|следование
18,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,тракт|оборот|тропинка|манипуляция|прием|переправа|образ
19,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,траектория|шоссе|фортель|крюк|путь|шествие|расстояние
20,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,перевал|тактика|проход|путина|стезя|путешествие|рейс
21,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,направление|дорожка|род|конец|ход|автострада|порядок
22,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,тропа|сноровка|просека|система|аллея|способ|курс
23,substitutions,1464859474733,54_10,multiple,Собираться в *дорогу*.,автомагистраль|маршрут|манера|тротуар|ухватка|метода
24,substitutions,1464859474733,55_10,multiple,"Танк повернулся на месте и пополз к шоссе. Он пересёк наискось кювет, но весь на дорогу не выполз, а, медленно вращая башню, перегородил *путь*, как шлагбаумом, длинной своей пушкой.",улица|дорога|поездка|мостовая|ворота|тракт|оборот
