бассейн	убежище	околица	расположение	манеж	гнездо	деревня			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
хутор	царство	угол	урочище	профессия	роль	отделение			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
район	областной центр	владение	объем	служба	житница	склад			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
промысел	край	помещение	пункт	поместье	обязанность	закоулок			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
ипподром	казнохранилище	область	мастерство	станция	земля	местонахождение			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
искусство	станица	месторасположение	местоположение	простор	весь	хранилище			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
дело	вместилище	промежуток	складочное место	околоток	крепость	страна			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
уголок	губерния	остановка	призвание	звание	арена	окраина			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
сокровищница	пребывание	улица	функция	город	синекура	отправление			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
государство	ремесло	регион	водовместилище	поле	село	местечко			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
библиотека	водоем	гнездилище	округ	поселение	территория	резервуар			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
поселок	ризница	аул	работа	трек	графство	аквариум			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
столица	локализация	уезд	площадь	книгохранилище	полоса	циклодром			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
местопребывание	пост	приют	база	амплуа	кабинет	специальность			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
местность	рукоделие	форум	сосредоточение	поляна	ристалище	статус			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
положение	локация	координаты	депо	поприще	должность	округа			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
торговля	сторона	круг	пространство	колония	позиция	арсенал			В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
занятие	промышленность	точка							В этом автобусе 50 сидячих и 80 стоячих <b><font color="#cc0000">мест</font></b>.	1_1										
бассейн	убежище	околица	расположение	манеж	гнездо	деревня			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
хутор	царство	угол	урочище	профессия	роль	отделение			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
район	областной центр	владение	объем	служба	житница	склад			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
промысел	край	помещение	пункт	поместье	обязанность	закоулок			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
ипподром	казнохранилище	область	мастерство	станция	земля	местонахождение			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
искусство	станица	месторасположение	местоположение	простор	весь	хранилище			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
дело	вместилище	промежуток	складочное место	околоток	крепость	страна			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
уголок	губерния	остановка	призвание	звание	арена	окраина			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
сокровищница	пребывание	улица	функция	город	синекура	отправление			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
государство	ремесло	регион	водовместилище	поле	село	местечко			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
библиотека	водоем	гнездилище	округ	поселение	территория	резервуар			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
поселок	ризница	аул	работа	трек	графство	аквариум			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
столица	локализация	уезд	площадь	книгохранилище	полоса	циклодром			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
местопребывание	пост	приют	база	амплуа	кабинет	специальность			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
местность	рукоделие	форум	сосредоточение	поляна	ристалище	статус			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
положение	локация	координаты	депо	поприще	должность	округа			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
торговля	сторона	круг	пространство	колония	позиция	арсенал			На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
занятие	промышленность	точка							На каждом съезде выступали делегаты с <b><font color="#cc0000">мест</font></b> и говорили, что до регионов деньги не доходят.	2_1										
бассейн	убежище	околица	расположение	манеж	гнездо	деревня			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
хутор	царство	угол	урочище	профессия	роль	отделение			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
район	областной центр	владение	объем	служба	житница	склад			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
промысел	край	помещение	пункт	поместье	обязанность	закоулок			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
ипподром	казнохранилище	область	мастерство	станция	земля	местонахождение			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
искусство	станица	месторасположение	местоположение	простор	весь	хранилище			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
дело	вместилище	промежуток	складочное место	околоток	крепость	страна			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
уголок	губерния	остановка	призвание	звание	арена	окраина			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
сокровищница	пребывание	улица	функция	город	синекура	отправление			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
государство	ремесло	регион	водовместилище	поле	село	местечко			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
библиотека	водоем	гнездилище	округ	поселение	территория	резервуар			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
поселок	ризница	аул	работа	трек	графство	аквариум			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
столица	локализация	уезд	площадь	книгохранилище	полоса	циклодром			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
местопребывание	пост	приют	база	амплуа	кабинет	специальность			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
местность	рукоделие	форум	сосредоточение	поляна	ристалище	статус			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
положение	локация	координаты	депо	поприще	должность	округа			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
торговля	сторона	круг	пространство	колония	позиция	арсенал			Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
занятие	промышленность	точка							Мне предлагают <b><font color="#cc0000">место</font></b> в банке. Шесть тысяч в год…	3_1										
бассейн	убежище	околица	расположение	манеж	гнездо	деревня			По заведённому порядку чиновниками комиссариатского и кораблестроительного департаментов груз, назначенный в Петропавловск и Охотск, сдавался командиру судна не по <b><font color="#cc0000">местам</font></b>, как то делается на коммерческих судах, а по мере, весу и счёту.	4_1										
хутор	царство	угол	урочище	профессия	роль	отделение			По заведённому порядку чиновниками комиссариатского и кораблестроительного департаментов груз, назначенный в Петропавловск и Охотск, сдавался командиру судна не по <b><font color="#cc0000">местам</font></b>, как то делается на коммерческих судах, а по мере, весу и счёту.	4_1										
район	областной центр	владение	объем	служба	житница	склад			По заведённому порядку чиновниками комиссариатского и кораблестроительного департаментов груз, назначенный в Петропавловск и Охотск, сдавался командиру судна не по <b><font color="#cc0000">местам</font></b>, как то делается на коммерческих судах, а по мере, весу и счёту.	4_1										
промысел	край	помещение	пункт	поместье	обязанность	закоулок			По заведённому порядку чиновниками комиссариатского и кораблестроительного департаментов груз, назначенный в Петропавловск и Охотск, сдавался командиру судна не по <b><font color="#cc0000">местам</font></b>, как то делается на коммерческих судах, а по мере, весу и счёту.	4_1										
